update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
35,71680,1069.5080427243702,28,0.9268116424384626,0.02790526248124339,0.8055999875068665,0.9711999893188477,20.33009708737864,7.751465066049494,8.0,54.0,1.2966492772102356,0.8274919763207436,-0.004094177329534432,0.0015090579254319891,0.0401453916796915,0.9268116424384626,0.02790526248124339,0.8055999875068665,0.9711999893188477
36,73728,1089.9880965795178,30,0.9247340123677991,0.030895285246236137,0.8199999928474426,0.9675999879837036,20.90721649484536,8.582026860573452,9.0,50.0,1.2958901673555374,0.8199226260185242,0.005114642306580208,0.0016316810942953452,0.05208000488436877,0.9247340123677991,0.030895285246236137,0.8199999928474426,0.9675999879837036
37,75776,1071.74609879578,32,0.9275411665439606,0.03011414543997882,0.7983999848365784,0.9675999879837036,20.127450980392158,8.365043474246171,9.0,56.0,1.255917027592659,0.8269559144973755,-0.002660641141119413,0.0016035597072914243,0.039737026707131466,0.9275411665439606,0.03011414543997882,0.7983999848365784,0.9675999879837036
38,77824,1090.5683392269755,34,0.9339256523984724,0.025509483977788502,0.8560000061988831,0.9711999893188477,18.353982300884955,7.085970626279853,8.0,40.0,1.258365049958229,0.8405637070536613,-0.008936207392252982,0.0012378301471471786,0.033467366279082,0.9339256523984724,0.025509483977788502,0.8560000061988831,0.9711999893188477
39,79872,1117.936654806123,36,0.9287636280059814,0.027503881301785608,0.8199999928474426,0.9711999893188477,19.78787878787879,7.639970288260919,8.0,50.0,1.3373115360736847,0.8363351076841354,0.010008168581407517,0.0014432332973228768,0.051475161381812504,0.9287636280059814,0.027503881301785608,0.8199999928474426,0.9711999893188477
40,81920,1091.7302635525555,38,0.9252554384788664,0.024725266614729687,0.8560000061988831,0.9675999879837036,20.762376237623762,6.868133496069467,9.0,40.0,1.3023829609155655,0.8294063732028008,0.007679947069846094,0.00102922383666737,0.040093040987637746,0.9252554384788664,0.024725266614729687,0.8560000061988831,0.9675999879837036
41,83968,1065.0611760175163,40,0.9225810471333955,0.02689873782224837,0.8379999995231628,0.9675999879837036,21.50526315789474,7.471875244380759,9.0,45.0,1.3579750806093216,0.8186920583248138,-0.0028798671264667064,0.0009660957803134806,0.033773575369240035,0.9225810471333955,0.02689873782224837,0.8379999995231628,0.9675999879837036
42,86016,1094.0619737970799,42,0.9301137508602317,0.023321536603219454,0.8019999861717224,0.9675999879837036,19.412844036697248,6.4782076595507965,9.0,55.0,1.3352832198143005,0.8377153351902962,-0.005697129556210712,0.0011269267633906566,0.0347336966886287,0.9301137508602317,0.023321536603219454,0.8019999861717224,0.9675999879837036
43,88064,1113.68381562649,43,0.9291657061803908,0.02506244433215993,0.8668000102043152,0.9747999906539917,19.676190476190477,6.961794019052763,7.0,37.0,1.3572031259536743,0.8348857164382935,0.0027496470356709324,0.0010923106601694599,0.03138803177804581,0.9291657061803908,0.02506244433215993,0.8668000102043152,0.9747999906539917
44,90112,1046.5664187296609,45,0.9227956462165584,0.028782197665092213,0.8163999915122986,0.9675999879837036,21.445652173913043,7.995058433637485,9.0,51.0,1.3494691252708435,0.8230078592896461,0.01355359039735049,0.0015591087721986696,0.059425656398150443,0.9227956462165584,0.028782197665092213,0.8163999915122986,0.9675999879837036
45,92160,1126.5409685676939,47,0.924727262270571,0.0331926799058111,0.7588000297546387,0.9675999879837036,20.90909090909091,9.220191839511372,9.0,67.0,1.3945303112268448,0.8243289142847061,-0.0007949061455292394,0.0014915729698259383,0.04217454239567226,0.924727262270571,0.0331926799058111,0.7588000297546387,0.9675999879837036
