C:/Users/Frost/Documents/Dropbox/ITU/KurserITU/Thesis Project/Repository/src/torch_rl_scripts/train.py --algo ppo --env TMaze-1x5-v0 --model TMaze1x5x3 --save-interval 10 --recurrence 2 --view-size 3

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='TMaze-1x5-viewsize_3-v0', epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.0007, max_grad_norm=0.5, mem=True, model='TMaze1x5x3', optim_alpha=0.99, optim_eps=1e-05, procs=16, recurrence=2, save_interval=10, seed=1, tb=False, text=False, value_loss_coef=0.5, view_size=3)

Model successfully created

TMazeRLModule(
  (memory_rnn): LSTMCell(28, 28)
  (actor): Sequential(
    (0): Linear(in_features=28, out_features=28, bias=True)
    (1): Tanh()
    (2): Linear(in_features=28, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=28, out_features=28, bias=True)
    (1): Tanh()
    (2): Linear(in_features=28, out_features=1, bias=True)
  )
)

CUDA available: True

U 35 | F 071680 | FPS 0752 | D 97 | rR:usmM 0.21 0.08 0.04 0.36 | F:usmM 65.0 3.5 57.0 72.0 | H 1.798 | V 0.119 | pL 0.003 | vL 0.002 | V 0.013
U 36 | F 073728 | FPS 0728 | D 100 | rR:usmM 0.19 0.08 0.07 0.39 | F:usmM 65.6 4.6 55.0 77.0 | H 1.797 | V 0.113 | pL 0.004 | vL 0.002 | V 0.017
U 37 | F 075776 | FPS 0736 | D 103 | rR:usmM 0.17 0.10 0.00 0.42 | F:usmM 66.7 5.2 55.0 80.0 | H 1.760 | V 0.118 | pL -0.001 | vL 0.003 | V 0.021
U 38 | F 077824 | FPS 0740 | D 106 | rR:usmM 0.23 0.11 0.04 0.50 | F:usmM 63.4 5.9 47.0 73.0 | H 1.703 | V 0.110 | pL -0.007 | vL 0.003 | V 0.016
U 39 | F 079872 | FPS 0756 | D 108 | rR:usmM 0.29 0.11 0.03 0.54 | F:usmM 58.8 6.5 44.0 71.0 | H 1.638 | V 0.134 | pL -0.019 | vL 0.004 | V 0.018
U 40 | F 081920 | FPS 0772 | D 111 | rR:usmM 0.32 0.14 0.04 0.61 | F:usmM 54.3 6.3 42.0 66.0 | H 1.554 | V 0.159 | pL -0.016 | vL 0.005 | V 0.027
Model successfully saved
U 41 | F 083968 | FPS 0737 | D 114 | rR:usmM 0.33 0.13 0.05 0.62 | F:usmM 54.6 6.9 44.0 69.0 | H 1.622 | V 0.176 | pL -0.011 | vL 0.005 | V 0.020
U 42 | F 086016 | FPS 0747 | D 117 | rR:usmM 0.29 0.12 0.11 0.51 | F:usmM 57.5 5.5 48.0 70.0 | H 1.622 | V 0.177 | pL 0.001 | vL 0.005 | V 0.034
U 43 | F 088064 | FPS 0737 | D 119 | rR:usmM 0.28 0.11 0.05 0.53 | F:usmM 57.2 5.3 48.0 72.0 | H 1.653 | V 0.181 | pL 0.015 | vL 0.005 | V 0.031
U 44 | F 090112 | FPS 0749 | D 122 | rR:usmM 0.30 0.15 0.04 0.55 | F:usmM 58.9 6.1 46.0 75.0 | H 1.552 | V 0.170 | pL -0.006 | vL 0.005 | V 0.023
U 45 | F 092160 | FPS 0761 | D 125 | rR:usmM 0.33 0.13 0.08 0.69 | F:usmM 53.7 5.4 43.0 68.0 | H 1.486 | V 0.169 | pL -0.006 | vL 0.005 | V 0.032
U 46 | F 094208 | FPS 0769 | D 127 | rR:usmM 0.35 0.12 0.13 0.68 | F:usmM 50.3 5.7 40.0 63.0 | H 1.498 | V 0.192 | pL -0.011 | vL 0.007 | V 0.026
U 47 | F 096256 | FPS 0730 | D 130 | rR:usmM 0.34 0.13 0.08 0.69 | F:usmM 50.5 6.1 36.0 68.0 | H 1.496 | V 0.206 | pL 0.003 | vL 0.007 | V 0.020
U 48 | F 098304 | FPS 0750 | D 133 | rR:usmM 0.39 0.12 0.14 0.69 | F:usmM 50.4 6.0 38.0 64.0 | H 1.527 | V 0.223 | pL -0.005 | vL 0.007 | V 0.025
U 49 | F 100352 | FPS 0732 | D 136 | rR:usmM 0.34 0.09 0.15 0.52 | F:usmM 53.4 5.3 41.0 63.0 | H 1.577 | V 0.214 | pL 0.012 | vL 0.006 | V 0.024
U 50 | F 102400 | FPS 0766 | D 138 | rR:usmM 0.31 0.12 0.11 0.60 | F:usmM 55.8 5.4 46.0 73.0 | H 1.574 | V 0.203 | pL 0.016 | vL 0.006 | V 0.021
Model successfully saved
U 51 | F 104448 | FPS 0679 | D 141 | rR:usmM 0.30 0.12 0.10 0.60 | F:usmM 55.0 6.2 42.0 65.0 | H 1.501 | V 0.191 | pL 0.004 | vL 0.005 | V 0.026
U 52 | F 106496 | FPS 0738 | D 144 | rR:usmM 0.34 0.13 0.07 0.62 | F:usmM 49.9 6.5 36.0 69.0 | H 1.521 | V 0.187 | pL -0.003 | vL 0.006 | V 0.036
U 53 | F 108544 | FPS 0713 | D 147 | rR:usmM 0.34 0.12 0.10 0.58 | F:usmM 51.0 5.7 38.0 63.0 | H 1.577 | V 0.216 | pL 0.012 | vL 0.005 | V 0.028
U 54 | F 110592 | FPS 0748 | D 150 | rR:usmM 0.32 0.13 0.05 0.61 | F:usmM 54.1 7.1 35.0 68.0 | H 1.575 | V 0.195 | pL 0.017 | vL 0.004 | V 0.019
U 55 | F 112640 | FPS 0767 | D 153 | rR:usmM 0.29 0.14 0.07 0.62 | F:usmM 54.0 6.6 41.0 67.0 | H 1.554 | V 0.173 | pL 0.018 | vL 0.004 | V 0.025
U 56 | F 114688 | FPS 0769 | D 155 | rR:usmM 0.30 0.11 0.11 0.56 | F:usmM 54.4 6.2 39.0 68.0 | H 1.571 | V 0.144 | pL -0.007 | vL 0.003 | V 0.020
U 57 | F 116736 | FPS 0739 | D 158 | rR:usmM 0.32 0.12 0.05 0.63 | F:usmM 54.3 5.6 43.0 67.0 | H 1.612 | V 0.168 | pL 0.002 | vL 0.003 | V 0.020
U 58 | F 118784 | FPS 0753 | D 161 | rR:usmM 0.31 0.12 0.01 0.51 | F:usmM 56.8 7.9 40.0 75.0 | H 1.637 | V 0.167 | pL 0.007 | vL 0.003 | V 0.022
U 59 | F 120832 | FPS 0754 | D 163 | rR:usmM 0.33 0.12 0.11 0.65 | F:usmM 56.9 5.1 47.0 66.0 | H 1.595 | V 0.161 | pL -0.009 | vL 0.003 | V 0.021
U 60 | F 122880 | FPS 0759 | D 166 | rR:usmM 0.34 0.14 0.10 0.74 | F:usmM 54.5 6.9 41.0 71.0 | H 1.515 | V 0.183 | pL -0.014 | vL 0.004 | V 0.029
Model successfully saved
U 61 | F 124928 | FPS 0732 | D 169 | rR:usmM 0.38 0.13 0.09 0.62 | F:usmM 51.7 5.6 41.0 67.0 | H 1.532 | V 0.193 | pL -0.001 | vL 0.004 | V 0.017
U 62 | F 126976 | FPS 0751 | D 172 | rR:usmM 0.29 0.14 0.06 0.70 | F:usmM 53.1 6.8 43.0 75.0 | H 1.483 | V 0.182 | pL 0.013 | vL 0.004 | V 0.030
U 63 | F 129024 | FPS 0758 | D 174 | rR:usmM 0.39 0.15 0.12 0.68 | F:usmM 49.7 5.3 39.0 61.0 | H 1.489 | V 0.178 | pL -0.009 | vL 0.004 | V 0.027
U 64 | F 131072 | FPS 0744 | D 177 | rR:usmM 0.38 0.12 0.11 0.56 | F:usmM 49.0 4.7 39.0 60.0 | H 1.531 | V 0.190 | pL -0.011 | vL 0.004 | V 0.016
U 65 | F 133120 | FPS 0766 | D 180 | rR:usmM 0.33 0.14 0.05 0.60 | F:usmM 53.1 5.0 43.0 65.0 | H 1.619 | V 0.196 | pL 0.014 | vL 0.004 | V 0.022
U 66 | F 135168 | FPS 0772 | D 182 | rR:usmM 0.31 0.14 0.04 0.69 | F:usmM 55.1 6.4 42.0 69.0 | H 1.678 | V 0.185 | pL 0.019 | vL 0.004 | V 0.017
U 67 | F 137216 | FPS 0774 | D 185 | rR:usmM 0.28 0.11 0.03 0.50 | F:usmM 57.7 5.5 44.0 70.0 | H 1.604 | V 0.159 | pL 0.015 | vL 0.003 | V 0.026
U 68 | F 139264 | FPS 0747 | D 188 | rR:usmM 0.31 0.12 0.10 0.55 | F:usmM 55.7 7.2 38.0 71.0 | H 1.533 | V 0.160 | pL -0.002 | vL 0.004 | V 0.025
U 69 | F 141312 | FPS 0777 | D 190 | rR:usmM 0.36 0.13 0.13 0.65 | F:usmM 51.0 6.4 40.0 67.0 | H 1.420 | V 0.168 | pL -0.001 | vL 0.004 | V 0.029
U 70 | F 143360 | FPS 0772 | D 193 | rR:usmM 0.39 0.16 0.06 0.75 | F:usmM 47.5 5.7 37.0 60.0 | H 1.425 | V 0.195 | pL -0.013 | vL 0.004 | V 0.021
Model successfully saved
U 71 | F 145408 | FPS 0714 | D 196 | rR:usmM 0.35 0.14 0.13 0.67 | F:usmM 48.0 6.4 33.0 64.0 | H 1.457 | V 0.189 | pL 0.004 | vL 0.004 | V 0.024
U 72 | F 147456 | FPS 0723 | D 199 | rR:usmM 0.34 0.11 0.09 0.62 | F:usmM 48.8 6.2 39.0 61.0 | H 1.443 | V 0.175 | pL 0.005 | vL 0.003 | V 0.020
U 73 | F 149504 | FPS 0756 | D 202 | rR:usmM 0.37 0.13 0.13 0.71 | F:usmM 49.1 5.3 36.0 63.0 | H 1.393 | V 0.183 | pL -0.020 | vL 0.004 | V 0.020
U 74 | F 151552 | FPS 0771 | D 204 | rR:usmM 0.41 0.15 0.07 0.72 | F:usmM 45.6 3.5 38.0 53.0 | H 1.335 | V 0.207 | pL -0.017 | vL 0.005 | V 0.029
U 75 | F 153600 | FPS 0746 | D 207 | rR:usmM 0.40 0.13 0.13 0.70 | F:usmM 45.7 4.2 34.0 55.0 | H 1.351 | V 0.206 | pL -0.005 | vL 0.004 | V 0.020
U 76 | F 155648 | FPS 0768 | D 210 | rR:usmM 0.39 0.12 0.09 0.63 | F:usmM 45.1 4.9 36.0 56.0 | H 1.337 | V 0.211 | pL 0.004 | vL 0.004 | V 0.023
U 77 | F 157696 | FPS 0774 | D 212 | rR:usmM 0.39 0.14 0.10 0.73 | F:usmM 45.7 4.8 34.0 53.0 | H 1.344 | V 0.193 | pL 0.005 | vL 0.004 | V 0.026
U 78 | F 159744 | FPS 0769 | D 215 | rR:usmM 0.42 0.14 0.12 0.72 | F:usmM 46.1 5.1 38.0 59.0 | H 1.331 | V 0.202 | pL -0.016 | vL 0.005 | V 0.025
U 79 | F 161792 | FPS 0766 | D 218 | rR:usmM 0.45 0.14 0.07 0.74 | F:usmM 45.4 5.7 33.0 60.0 | H 1.282 | V 0.190 | pL -0.020 | vL 0.004 | V 0.028
U 80 | F 163840 | FPS 0768 | D 220 | rR:usmM 0.41 0.12 0.16 0.69 | F:usmM 44.5 4.2 38.0 55.0 | H 1.261 | V 0.221 | pL -0.005 | vL 0.005 | V 0.023
Model successfully saved
U 81 | F 165888 | FPS 0732 | D 223 | rR:usmM 0.41 0.15 0.12 0.76 | F:usmM 42.3 4.4 34.0 53.0 | H 1.309 | V 0.222 | pL -0.004 | vL 0.004 | V 0.022
U 82 | F 167936 | FPS 0739 | D 226 | rR:usmM 0.41 0.11 0.22 0.69 | F:usmM 45.4 3.9 38.0 54.0 | H 1.400 | V 0.206 | pL -0.001 | vL 0.004 | V 0.020
U 83 | F 169984 | FPS 0732 | D 229 | rR:usmM 0.41 0.15 0.14 0.69 | F:usmM 47.7 6.0 35.0 61.0 | H 1.390 | V 0.204 | pL -0.001 | vL 0.004 | V 0.024
U 84 | F 172032 | FPS 0769 | D 231 | rR:usmM 0.39 0.13 0.05 0.72 | F:usmM 47.5 5.3 35.0 57.0 | H 1.408 | V 0.199 | pL 0.007 | vL 0.005 | V 0.041
U 85 | F 174080 | FPS 0774 | D 234 | rR:usmM 0.35 0.13 0.11 0.76 | F:usmM 47.8 4.9 38.0 59.0 | H 1.353 | V 0.194 | pL 0.003 | vL 0.004 | V 0.022
U 86 | F 176128 | FPS 0751 | D 237 | rR:usmM 0.40 0.10 0.22 0.66 | F:usmM 46.3 4.5 39.0 61.0 | H 1.357 | V 0.194 | pL -0.018 | vL 0.004 | V 0.021
U 87 | F 178176 | FPS 0761 | D 239 | rR:usmM 0.40 0.14 0.13 0.75 | F:usmM 47.0 4.9 35.0 57.0 | H 1.410 | V 0.230 | pL -0.004 | vL 0.005 | V 0.021
U 88 | F 180224 | FPS 0769 | D 242 | rR:usmM 0.38 0.14 0.08 0.68 | F:usmM 48.7 5.9 37.0 61.0 | H 1.446 | V 0.195 | pL 0.012 | vL 0.004 | V 0.024
U 89 | F 182272 | FPS 0767 | D 245 | rR:usmM 0.33 0.14 0.09 0.76 | F:usmM 49.1 6.1 36.0 66.0 | H 1.472 | V 0.163 | pL 0.020 | vL 0.003 | V 0.025
U 90 | F 184320 | FPS 0750 | D 247 | rR:usmM 0.34 0.14 0.07 0.60 | F:usmM 51.5 6.2 38.0 68.0 | H 1.519 | V 0.176 | pL -0.006 | vL 0.004 | V 0.025
Model successfully saved
U 91 | F 186368 | FPS 0739 | D 250 | rR:usmM 0.34 0.12 0.14 0.70 | F:usmM 49.7 5.3 38.0 59.0 | H 1.450 | V 0.165 | pL -0.006 | vL 0.004 | V 0.023
U 92 | F 188416 | FPS 0751 | D 253 | rR:usmM 0.34 0.16 0.04 0.80 | F:usmM 49.0 5.5 36.0 64.0 | H 1.476 | V 0.179 | pL -0.002 | vL 0.004 | V 0.018
U 93 | F 190464 | FPS 0752 | D 256 | rR:usmM 0.36 0.12 0.08 0.72 | F:usmM 48.7 5.5 37.0 61.0 | H 1.525 | V 0.188 | pL 0.000 | vL 0.005 | V 0.021
U 94 | F 192512 | FPS 0757 | D 258 | rR:usmM 0.36 0.11 0.12 0.60 | F:usmM 50.9 5.9 39.0 61.0 | H 1.534 | V 0.195 | pL -0.004 | vL 0.004 | V 0.023
U 95 | F 194560 | FPS 0741 | D 261 | rR:usmM 0.32 0.12 0.08 0.59 | F:usmM 53.4 5.8 42.0 64.0 | H 1.479 | V 0.185 | pL 0.008 | vL 0.004 | V 0.021
U 96 | F 196608 | FPS 0764 | D 264 | rR:usmM 0.37 0.12 0.05 0.64 | F:usmM 51.1 5.7 37.0 62.0 | H 1.407 | V 0.194 | pL -0.007 | vL 0.005 | V 0.022
U 97 | F 198656 | FPS 0758 | D 267 | rR:usmM 0.38 0.14 0.14 0.71 | F:usmM 49.3 5.9 38.0 62.0 | H 1.424 | V 0.204 | pL -0.002 | vL 0.005 | V 0.040
U 98 | F 200704 | FPS 0747 | D 269 | rR:usmM 0.40 0.12 0.14 0.69 | F:usmM 49.1 5.0 40.0 61.0 | H 1.351 | V 0.189 | pL -0.018 | vL 0.004 | V 0.032
U 99 | F 202752 | FPS 0769 | D 272 | rR:usmM 0.38 0.13 0.14 0.62 | F:usmM 47.9 5.3 37.0 59.0 | H 1.337 | V 0.200 | pL -0.000 | vL 0.004 | V 0.026
U 100 | F 204800 | FPS 0775 | D 275 | rR:usmM 0.42 0.12 0.13 0.69 | F:usmM 45.7 5.8 33.0 66.0 | H 1.351 | V 0.220 | pL -0.012 | vL 0.004 | V 0.018
Model successfully saved
U 101 | F 206848 | FPS 0722 | D 277 | rR:usmM 0.37 0.13 0.04 0.61 | F:usmM 47.7 6.4 32.0 64.0 | H 1.383 | V 0.211 | pL 0.016 | vL 0.004 | V 0.022
U 102 | F 208896 | FPS 0744 | D 280 | rR:usmM 0.41 0.12 0.11 0.63 | F:usmM 47.1 5.1 37.0 58.0 | H 1.390 | V 0.227 | pL 0.012 | vL 0.005 | V 0.029
U 103 | F 210944 | FPS 0716 | D 283 | rR:usmM 0.40 0.16 0.03 0.79 | F:usmM 47.2 6.6 35.0 68.0 | H 1.349 | V 0.203 | pL 0.009 | vL 0.005 | V 0.025
U 104 | F 212992 | FPS 0765 | D 286 | rR:usmM 0.40 0.13 0.11 0.65 | F:usmM 45.5 4.7 35.0 58.0 | H 1.289 | V 0.179 | pL -0.010 | vL 0.005 | V 0.021
U 105 | F 215040 | FPS 0754 | D 288 | rR:usmM 0.45 0.11 0.25 0.72 | F:usmM 45.6 6.4 35.0 60.0 | H 1.307 | V 0.175 | pL -0.032 | vL 0.004 | V 0.033
U 106 | F 217088 | FPS 0773 | D 291 | rR:usmM 0.42 0.13 0.20 0.68 | F:usmM 43.8 4.8 34.0 58.0 | H 1.343 | V 0.185 | pL -0.010 | vL 0.004 | V 0.018
U 107 | F 219136 | FPS 0766 | D 294 | rR:usmM 0.37 0.12 0.15 0.60 | F:usmM 46.4 4.7 37.0 57.0 | H 1.414 | V 0.203 | pL -0.009 | vL 0.004 | V 0.020
U 108 | F 221184 | FPS 0768 | D 296 | rR:usmM 0.40 0.13 0.17 0.62 | F:usmM 48.0 4.4 39.0 59.0 | H 1.468 | V 0.196 | pL -0.000 | vL 0.004 | V 0.023
U 109 | F 223232 | FPS 0772 | D 299 | rR:usmM 0.35 0.11 0.13 0.61 | F:usmM 52.4 5.9 39.0 65.0 | H 1.473 | V 0.169 | pL -0.003 | vL 0.004 | V 0.018
U 110 | F 225280 | FPS 0760 | D 302 | rR:usmM 0.40 0.12 0.11 0.72 | F:usmM 49.9 5.3 38.0 62.0 | H 1.481 | V 0.184 | pL -0.017 | vL 0.004 | V 0.024
Model successfully saved
U 111 | F 227328 | FPS 0713 | D 305 | rR:usmM 0.32 0.12 0.05 0.62 | F:usmM 49.4 5.7 38.0 60.0 | H 1.510 | V 0.196 | pL 0.010 | vL 0.005 | V 0.025
U 112 | F 229376 | FPS 0746 | D 307 | rR:usmM 0.34 0.13 0.12 0.64 | F:usmM 50.7 6.2 40.0 63.0 | H 1.528 | V 0.201 | pL 0.016 | vL 0.005 | V 0.041
U 113 | F 231424 | FPS 0764 | D 310 | rR:usmM 0.33 0.14 0.11 0.72 | F:usmM 51.1 5.9 43.0 73.0 | H 1.480 | V 0.200 | pL 0.016 | vL 0.004 | V 0.022
U 114 | F 233472 | FPS 0766 | D 313 | rR:usmM 0.33 0.12 0.07 0.71 | F:usmM 52.4 5.6 38.0 62.0 | H 1.473 | V 0.180 | pL 0.005 | vL 0.004 | V 0.024
U 115 | F 235520 | FPS 0761 | D 316 | rR:usmM 0.34 0.14 0.06 0.62 | F:usmM 51.0 5.8 39.0 68.0 | H 1.416 | V 0.170 | pL -0.003 | vL 0.004 | V 0.025
